n_train,mean,std,metric,type
500,0.43490026935267656,0.03371175624894161,pos_acc,ECFP Only
1000,0.5036665252290188,0.046699538536225514,pos_acc,ECFP Only
2000,0.6179444714396742,0.03703027570603946,pos_acc,ECFP Only
5000,0.6773762125051173,0.023754583264448185,pos_acc,ECFP Only
7000,0.6878568822604667,0.04360282958396284,pos_acc,ECFP Only
500,0.42063430119292455,0.057883221614173544,pos_acc,Multi
1000,0.5095872377130666,0.04579796955211779,pos_acc,Multi
2000,0.6225672026336049,0.0451125709704234,pos_acc,Multi
5000,0.665758295749957,0.01909237650273104,pos_acc,Multi
7000,0.6725733306100246,0.04002459880618808,pos_acc,Multi
500,0.5370773804323223,0.015970322296014493,neg_acc,ECFP Only
1000,0.6055220385263127,0.012511718836229915,neg_acc,ECFP Only
2000,0.6435437422312068,0.0076054964746085025,neg_acc,ECFP Only
5000,0.6726283278859985,0.0012357400070562162,neg_acc,ECFP Only
7000,0.6840185710652842,0.006648535722610607,neg_acc,ECFP Only
500,0.5265676962075647,0.00535110026014593,neg_acc,Multi
1000,0.6139452212224901,0.00801482748722272,neg_acc,Multi
2000,0.6425632984948556,0.0063523307844319315,neg_acc,Multi
5000,0.6711880631084378,0.004582720939025587,neg_acc,Multi
7000,0.683622836553057,0.006582960564377525,neg_acc,Multi
