n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.43908422999083996,0.7078837322950557,0.7012192830850675,117
0,5000,1,0.5117016227708923,0.7046364881578402,0.6998529797605914,94
0,5000,2,0.44678840455081725,0.7128086547698762,0.7062131106165898,109
0,5000,3,0.4108529711763064,0.7163532608620149,0.7087788744406267,112
0,5000,4,0.49716638525327045,0.711518680166432,0.7062041603244287,96
1,4999,0,0.41722134604222244,0.7084413778094711,0.701221048896401,110
1,4999,1,0.5097642913460732,0.7071909824830853,0.7022961070094021,118
1,4999,2,0.4300786117091775,0.7136468190047364,0.7066162005862217,108
1,4999,3,0.4329632164703475,0.7154550936643961,0.7084511661396642,105
1,4999,4,0.5063390528990163,0.7115035740981578,0.706416851288662,79
2,4998,0,0.44236509543326163,0.7118289931078763,0.7051480717552292,100
2,4998,1,0.5248841560549207,0.7090898580128316,0.7045227749806832,102
2,4998,2,0.45851028172506225,0.7103130489253665,0.7040700039841727,115
2,4998,3,0.42416969397001797,0.7164278405818478,0.7091817722371048,112
2,4998,4,0.48247868236568237,0.7092899168781689,0.7036664975443393,110
5,4995,0,0.39342217250830597,0.7086182508241428,0.7008034721948206,111
5,4995,1,0.49791733113427955,0.7060682706134973,0.7009075040449247,111
5,4995,2,0.4774125785463386,0.7096979999033429,0.7039388582218161,104
5,4995,3,0.43418092653155327,0.7117151558020357,0.7048341419352808,109
5,4995,4,0.5123478786812888,0.7107105040863567,0.7057924202153301,117
10,4990,0,0.5196622632857826,0.7076910245603892,0.7030291544987382,108
10,4990,1,0.5478619105286069,0.7079851865534287,0.7040151872482284,106
10,4990,2,0.4726526451607545,0.7104477947604143,0.7045520486505112,108
10,4990,3,0.4381424801217185,0.7160669687167232,0.7091762772491894,117
10,4990,4,0.49987033671802944,0.7095848685058128,0.704385333117893,111
20,4980,0,0.5355845710469617,0.7096833109587305,0.7053668137213867,116
20,4980,1,0.6057973341602418,0.7080589584403771,0.7055235449596726,110
20,4980,2,0.5723151233461168,0.7103453017455541,0.7069230641728426,101
20,4980,3,0.5205234367814329,0.7151233447126328,0.7102985559852368,115
20,4980,4,0.6201313253906038,0.7121635413081464,0.709881751346543,105
50,4950,0,0.601536234219869,0.7105880214511758,0.7078842596528082,118
50,4950,1,0.6501865891946687,0.7096963792415809,0.7082209300529468,112
50,4950,2,0.6380169126722548,0.7120608988199594,0.7102250974854972,110
50,4950,3,0.6062919766538672,0.7158339135585574,0.7131179982550011,115
50,4950,4,0.7001222098867098,0.7078554384557709,0.7076637064961117,108
100,4900,0,0.6582430634233687,0.706342864729001,0.7051503077872898,110
100,4900,1,0.7014506914549403,0.7039388498938564,0.703877160692531,116
100,4900,2,0.7061045608586736,0.7115574531601795,0.7114222563851943,106
100,4900,3,0.6333016670412488,0.715969547565887,0.7139199317962742,113
100,4900,4,0.7299597528245714,0.7072369991262354,0.7078003736954316,111
120,4880,0,0.6360906428760953,0.7081531858292677,0.7063665124369637,114
120,4880,1,0.7138001422087351,0.7075232114921729,0.7076788397695736,99
120,4880,2,0.7202386051002476,0.7103581573224842,0.7106031280167442,108
120,4880,3,0.6477418682641454,0.7104387490320846,0.7088842815501467,112
120,4880,4,0.7568621047668986,0.7092031527357965,0.7103847805064264,112
