n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.44656656579011017,0.710241496929962,0.7037041036222264,112
0,5000,1,0.5091212573978636,0.7068442251404358,0.701942004277512,116
0,5000,2,0.44248883695238167,0.7149623587824888,0.7082068171985858,110
0,5000,3,0.4119905728018946,0.7161817673020233,0.7086398368444776,107
0,5000,4,0.49129271258910495,0.7116250192607084,0.7061622357419268,116
1,4999,0,0.3973504114482138,0.6850992572738809,0.6779649860882699,107
1,4999,1,0.495279538548655,0.6823176608922127,0.6776803530256049,103
1,4999,2,0.3866458140934507,0.6908192761205558,0.683277783368922,88
1,4999,3,0.3899146347410149,0.6805936560774022,0.6733867389267982,114
1,4999,4,0.5005968666325012,0.685350999787271,0.6807703175171491,103
2,4998,0,0.3765452028148704,0.6807433072645954,0.6732012064763173,80
2,4998,1,0.5061296373605728,0.6765084681416846,0.6722841993386064,79
2,4998,2,0.3992718051498135,0.6801530185713311,0.673189020171741,71
2,4998,3,0.3743191551831033,0.6866488506981977,0.6789051389915628,77
2,4998,4,0.45821889489889145,0.6847011467544191,0.6790858851750535,66
5,4995,0,0.4067468076116509,0.6837854042049434,0.6769166796599045,68
5,4995,1,0.4403341290437513,0.6822875929647125,0.6762887492045355,56
5,4995,2,0.3859981439179844,0.6808079623079222,0.6734986280266853,65
5,4995,3,0.38063115295436645,0.6865871013543374,0.6790014173560994,84
5,4995,4,0.4351341701630089,0.6857527909868812,0.6795391059864169,66
10,4990,0,0.43882762392361957,0.6883065226079376,0.6821210959579247,68
10,4990,1,0.5130928580959638,0.6894573571333414,0.6850846838472237,69
10,4990,2,0.4245993114180035,0.6914366047571566,0.68482080378798,54
10,4990,3,0.42707992241614395,0.6966994940836014,0.6900147121821687,94
10,4990,4,0.47407127792636555,0.6878773045777422,0.6825763294800408,71
20,4980,0,0.43881917123993236,0.6942652401449896,0.687931868449731,67
20,4980,1,0.5679848980572488,0.693958724120837,0.6908354065220639,48
20,4980,2,0.5209101430243916,0.697792250759726,0.6934067442770739,99
20,4980,3,0.4838244782553779,0.7041650193238284,0.6987020316541441,73
20,4980,4,0.546937205725246,0.6966986255651197,0.6929855347805356,90
50,4950,0,0.585649242831601,0.7048092462052723,0.7018548669671952,74
50,4950,1,0.6232578514350785,0.7042752713981837,0.7022665749942517,114
50,4950,2,0.5740992141266664,0.7052689895381109,0.7020168453557596,85
50,4950,3,0.5671176976627774,0.7089147794982523,0.7053991516842956,118
50,4950,4,0.6840086032946905,0.7023846609057532,0.7019290570477562,99
100,4900,0,0.6472931462857459,0.7014233682154662,0.7000812975979684,116
100,4900,1,0.6760301747255855,0.7006173714295577,0.7000077717447495,98
100,4900,2,0.6819907211595111,0.707593839278834,0.706959050564357,109
100,4900,3,0.6357611455023289,0.7109203417676943,0.7090568915083261,100
100,4900,4,0.7324817929830816,0.704301474578113,0.7050001621749842,88
120,4880,0,0.6268307645287778,0.7019747421263828,0.7001116683837488,110
120,4880,1,0.7021528821852472,0.7041841160037718,0.7041337551682489,103
120,4880,2,0.7064970057043765,0.7064391055439025,0.7064405413236746,116
120,4880,3,0.6336397007107735,0.7050295704607404,0.7032595738209271,108
120,4880,4,0.7358180673585998,0.7052901871068309,0.7060470772020714,106
