n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
10,4990,0,0.504948921294676,0.6940328654554268,0.689344836558028,60
10,4990,1,0.5240938303371271,0.6956585374322725,0.691404866464513,51
10,4990,2,0.47159864960445297,0.6967789111290611,0.6911959268624789,61
10,4990,3,0.4674837568567859,0.700656295575775,0.6948751584375302,56
10,4990,4,0.5033870939579275,0.6961294337699326,0.6913506974396874,61
100,4900,0,0.58900294577082,0.6963406631849327,0.6936793994574137,48
100,4900,1,0.6181043719665872,0.6896174282630074,0.6878443756179253,60
100,4900,2,0.5728482140435113,0.696275002093549,0.6932148311342325,63
100,4900,3,0.571295334233178,0.6980591801118163,0.6949162738876848,62
100,4900,4,0.6445389464497566,0.6963545472511106,0.6950698636302893,41
120,4880,0,0.5620928671624925,0.6904565819149763,0.6872740115780517,59
120,4880,1,0.6519843700031439,0.691641974086626,0.6906587270424591,62
120,4880,2,0.5992833330399461,0.6944729086842998,0.6921128377975183,61
120,4880,3,0.5787765524453587,0.6966788946666708,0.69375569589395,60
120,4880,4,0.6319064299265543,0.6972200693588936,0.6956007250381977,47
