n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
10,4990,0,0.5129017362164127,0.6944962420144334,0.6899938983002488,63
10,4990,1,0.5030138060036633,0.6929645431482846,0.6882550226870511,59
10,4990,2,0.4372283151994149,0.6953880677688972,0.6889874119255127,66
10,4990,3,0.455012040419711,0.6994615088211699,0.6934007769270951,64
10,4990,4,0.5064505756729178,0.695764956125032,0.6910712117837234,61
100,4900,0,0.4564490786029233,0.6932872132553408,0.6874151946733046,49
100,4900,1,0.5508300844166014,0.6898400195805872,0.6863934917429324,44
100,4900,2,0.4934658855199814,0.6977514500498224,0.6926865164670303,57
100,4900,3,0.481622454813785,0.6986860841690921,0.6933043396041714,57
100,4900,4,0.4735295654584964,0.6935727466502896,0.6881171333585602,57
120,4880,0,0.45034860467745197,0.6892223905398389,0.683299902183858,63
120,4880,1,0.554774630193909,0.69179427372831,0.6883970930686185,66
120,4880,2,0.48684736175669563,0.6959678202651778,0.6907830143644995,68
120,4880,3,0.4834814541455772,0.6933193224571688,0.6881167332900908,65
120,4880,4,0.49744554319315487,0.696421481802465,0.6914881956846949,54
