n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.45643536498149234,0.7103038069997298,0.7040095489071913,94
0,5000,1,0.5214018838273154,0.7072146888690775,0.7026077603059243,85
0,5000,2,0.4399435476710399,0.7141991384948293,0.7073994137374966,90
0,5000,3,0.4121048957523372,0.7151308921047376,0.7076178514475603,91
0,5000,4,0.49085474924908745,0.7119315514152891,0.7064503083094061,86
1,4999,0,0.4426109245460894,0.7091556152162525,0.702547069207629,92
1,4999,1,0.49504389903611606,0.7049752761455947,0.6997703672239183,92
1,4999,2,0.44710692214883035,0.7147213728614362,0.7080863025449935,87
1,4999,3,0.4181939125474956,0.7174547363590912,0.7100350456812596,93
1,4999,4,0.5175137935827175,0.7123223642304297,0.707492400282101,93
2,4998,0,0.4616206468393405,0.7127452702208891,0.7065190421879168,82
2,4998,1,0.5400419605688916,0.7079662448610837,0.7038028349422596,91
2,4998,2,0.45124923292961383,0.7098882212671899,0.7034756828576696,88
2,4998,3,0.45291654641429585,0.7148958423127563,0.7084004883256744,85
2,4998,4,0.4989711191091273,0.7103277655755101,0.7050875177024543,93
5,4995,0,0.4400002418292893,0.7098623702952396,0.703171576243715,85
5,4995,1,0.5152615250812637,0.7067164362666044,0.7019696215824442,87
5,4995,2,0.4627635485182206,0.7099241684454014,0.7037962183725736,89
5,4995,3,0.450048664998677,0.7137637033938209,0.7072253119099126,87
5,4995,4,0.492802699510422,0.7108143997052422,0.7054091517084866,88
10,4990,0,0.5107478700164292,0.7067354161418595,0.7018762203760845,91
10,4990,1,0.5116329942312505,0.707739352322273,0.7028772134241487,92
10,4990,2,0.49947110066811246,0.7101989334270273,0.7049742769757824,94
10,4990,3,0.47989759739074445,0.7125894639912025,0.706820243526989,82
10,4990,4,0.5231628744966454,0.7099167130753334,0.7052864536249205,93
20,4980,0,0.5484876649247276,0.7106231426843836,0.7066032563454212,88
20,4980,1,0.608152686100867,0.708095981636858,0.7056180500533155,83
20,4980,2,0.5645983016325368,0.7121699761788723,0.708511173376203,88
20,4980,3,0.5321756398512257,0.7157398969537478,0.7111887168177704,84
20,4980,4,0.5829617165856891,0.7117960197136785,0.7086017807854529,86
50,4950,0,0.607481974694464,0.7097691255582149,0.7072330830675183,87
50,4950,1,0.6493477672338486,0.7090336581853897,0.707553841801586,94
50,4950,2,0.6543980594724417,0.7143107657741734,0.7128253237834359,94
50,4950,3,0.6006297678169277,0.7141665997625576,0.7113516359248766,91
50,4950,4,0.7092803381383419,0.709528330071582,0.7095221810468753,94
100,4900,0,0.6545978900459077,0.7082720954776189,0.7069413314198886,92
100,4900,1,0.7055065689815415,0.7036777706422165,0.7037231128986093,82
100,4900,2,0.6997920481695069,0.7132856013348042,0.7129510510815487,91
100,4900,3,0.6323297545313835,0.7147503942441943,0.7127069068184897,82
100,4900,4,0.7319403584632609,0.7097421149454556,0.7102924876521821,85
120,4880,0,0.6315847813255258,0.7077395488951345,0.7058514146699978,88
120,4880,1,0.713155990673436,0.7082546609125,0.708376181238785,94
120,4880,2,0.7120718616578314,0.7112147306213102,0.7112359821580905,77
120,4880,3,0.6532190649045838,0.712024523992365,0.7105665385476814,90
120,4880,4,0.7541501273711523,0.7094422208453071,0.7105506795776634,90
