n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.4531653829746776,0.7101365990695375,0.7037654131649,92
0,5000,1,0.519131692747275,0.7075638778949693,0.7028920045661285,91
0,5000,2,0.43606760332153904,0.7125816340952859,0.7057259128513661,86
0,5000,3,0.41728523725436795,0.7163207644628267,0.7089066594459383,94
0,5000,4,0.4861170103152593,0.712564012252773,0.7069496240783688,92
1,4999,0,0.430804042559531,0.7030518779604785,0.6963019352226669,90
1,4999,1,0.5348048342598809,0.7002543262738766,0.6961522724558972,86
1,4999,2,0.4445622329496675,0.7084204771116608,0.7018785363527594,79
1,4999,3,0.411777480919328,0.7091850033635011,0.7018112640856116,90
1,4999,4,0.49497481663193965,0.7039093536355712,0.6987291581700389,87
2,4998,0,0.4377142702125841,0.7039163651156612,0.6973163158698238,72
2,4998,1,0.523250524368551,0.702941612085317,0.6984864614696111,89
2,4998,2,0.4230507440451119,0.6999797264658609,0.693113718721913,82
2,4998,3,0.4286285663644473,0.7104798200748083,0.703491772631486,70
2,4998,4,0.48748733196407557,0.7036389929471316,0.6982798613043446,67
5,4995,0,0.39653130455149543,0.7018819457192321,0.6943112696224655,85
5,4995,1,0.517856888886955,0.7018945150124698,0.6973315978207248,75
5,4995,2,0.42124767001304364,0.702625219389207,0.6956489168328154,74
5,4995,3,0.4153907315598594,0.7047984329128564,0.6976230348852918,78
5,4995,4,0.4755631693535381,0.706111433759258,0.7003953616268235,71
10,4990,0,0.48810642264369464,0.7014068408746215,0.6961184016854782,92
10,4990,1,0.5253353023694621,0.702477601272617,0.6980856443978538,82
10,4990,2,0.45842959276503986,0.7002373606750563,0.694242125548956,73
10,4990,3,0.44464300407303703,0.7095167105241368,0.7029495959724338,69
10,4990,4,0.5073056622511811,0.7020384158365597,0.6972103309035096,93
20,4980,0,0.5199010579122437,0.7033858607922047,0.6988366527996634,76
20,4980,1,0.5755466293129656,0.7036458451358738,0.7004698326493056,78
20,4980,2,0.482815010059211,0.7048824447980624,0.6993766385682194,92
20,4980,3,0.49036400620308185,0.7102231254227628,0.7047720744169366,60
20,4980,4,0.5880063428646989,0.7047354559615349,0.7018413461504899,76
50,4950,0,0.5853015987409486,0.7039992808966797,0.7010563641886635,92
50,4950,1,0.6341345790359709,0.7025671041502202,0.7008704292426301,80
50,4950,2,0.6210481019483672,0.7051288442880883,0.7030441969794737,77
50,4950,3,0.5781142099036111,0.7098351926174499,0.7065693850681306,91
50,4950,4,0.6881524374087652,0.7044059806674361,0.7040030024650689,72
100,4900,0,0.6582809744609727,0.7028003444620224,0.7016965596091269,85
100,4900,1,0.693139744301637,0.7008909574988703,0.7006987785566444,74
100,4900,2,0.6962798775898086,0.706897185566522,0.7066339463076988,93
100,4900,3,0.6302087261444993,0.7103165942701343,0.7083304513142554,81
100,4900,4,0.7301044132974412,0.7050612325121394,0.7056821380132878,85
120,4880,0,0.6337565705180168,0.7021253038010965,0.7004302115315576,68
120,4880,1,0.7048477100001441,0.7028259730655805,0.7028761006399127,87
120,4880,2,0.7226470315621959,0.7063967105248512,0.7067996108104005,86
120,4880,3,0.640328761190176,0.7050084376755028,0.7034048116676119,86
120,4880,4,0.7479264996945858,0.7034485523686297,0.7045513129864945,93
