number,value,datetime_start,datetime_complete,duration,params_cb_beta,params_dropout_rate,params_epochs,params_flag_boost,params_lr,params_patience,params_weight_decay,state
0,0.31031286999414087,2025-12-01 15:01:18.526343,2025-12-01 15:01:49.633841,0 days 00:00:31.107498,0.9917456563640535,0.45072608121894686,75,2.923503327302427,2.7997035589860015e-05,4,0.00021318295398973288,COMPLETE
1,0.303574614480553,2025-12-01 15:01:49.704837,2025-12-01 15:02:28.860051,0 days 00:00:39.155214,0.9996553110339265,0.18349895242255138,108,1.9625482070090936,8.979824286386642e-05,8,1.8900871919347407e-05,COMPLETE
2,0.291365992297083,2025-12-01 15:02:28.923396,2025-12-01 15:03:11.315579,0 days 00:00:42.392183,0.9960624603790519,0.4691866296505891,116,2.158419113505241,0.00011372883982762028,12,3.9905024777261675e-05,COMPLETE
3,0.31973075350002605,2025-12-01 15:03:11.376845,2025-12-01 15:03:28.371609,0 days 00:00:16.994764,0.996365293591772,0.41347090260286873,27,2.199186591152773,5.261060644998764e-05,5,2.1361379881630114e-06,COMPLETE
4,0.318507149984716,2025-12-01 15:03:28.433872,2025-12-01 15:03:55.606294,0 days 00:00:27.172422,0.9913356590794543,0.4541508118934376,47,2.811301924046527,3.065597786736436e-05,27,2.8292017029856647e-06,COMPLETE
5,0.372932234784767,2025-12-01 15:03:55.669110,2025-12-01 15:04:20.087610,0 days 00:00:24.418500,0.9997263404694079,0.4374532524981591,41,1.0169106776270824,1.5394595148107434e-05,9,3.931364993830579e-06,COMPLETE
6,0.2877939596264724,2025-12-01 15:04:20.148068,2025-12-01 15:05:16.088471,0 days 00:00:55.940403,0.9909126174103525,0.40067657439831245,111,2.5406247393374457,0.00041273413063007235,26,6.179696716306344e-05,COMPLETE
7,0.2989285476928648,2025-12-01 15:05:16.150889,2025-12-01 15:06:01.406764,0 days 00:00:45.255875,0.9995443947742282,0.37457379139423946,82,1.279956093689892,7.305347620194342e-05,15,2.5905554334875993e-05,COMPLETE
8,0.29072067292236076,2025-12-01 15:06:01.469680,2025-12-01 15:06:56.178786,0 days 00:00:54.709106,0.9953281321876616,0.14524540698225774,101,1.454970902642097,0.0002905108228201425,16,1.440461401978206e-06,COMPLETE
9,0.2947136846489212,2025-12-01 15:06:56.242765,2025-12-01 15:07:30.939483,0 days 00:00:34.696718,0.992050792780082,0.020956416739275785,105,2.7775847065728048,7.969342305934615e-05,8,0.0009440668541561377,COMPLETE
10,0.30281703981452684,2025-12-01 15:07:31.002724,2025-12-01 15:07:54.731182,0 days 00:00:23.728458,0.990164241366038,0.30078504753560864,88,2.493330028802469,0.0009721072673358953,26,0.000135793459301401,COMPLETE
11,0.2882837082948478,2025-12-01 15:07:54.808262,2025-12-01 15:08:49.105191,0 days 00:00:54.296929,0.9939162933361658,0.16132423883500902,100,1.5298762073412142,0.00033751357990560423,21,9.985867899198911e-06,COMPLETE
12,0.2861488623269694,2025-12-01 15:08:49.173927,2025-12-01 15:09:40.493349,0 days 00:00:51.319422,0.9935517125338109,0.2716691891066072,95,1.7751821086888797,0.00040955496514155377,22,9.794969246288826e-06,COMPLETE
13,0.2966670515121444,2025-12-01 15:09:40.555869,2025-12-01 15:10:17.501245,0 days 00:00:36.945376,0.9936335592867775,0.3223833551550682,89,1.8260927236415723,0.0008982619023342475,22,6.214001271159906e-05,COMPLETE
14,0.28984849273358826,2025-12-01 15:10:17.564725,2025-12-01 15:10:52.568193,0 days 00:00:35.003468,0.9930320145463999,0.23906787239467284,63,2.5300073419317273,0.0003295032449688341,22,1.0972769447770664e-05,COMPLETE
15,0.28130885125190724,2025-12-01 15:10:52.632453,2025-12-01 15:11:56.158857,0 days 00:01:03.526404,0.990110725960859,0.34145869213527447,118,1.768852367763028,0.00018579356614638177,30,0.00010558384297715928,COMPLETE,BEST_TRIAL
16,0.28433637574730275,2025-12-01 15:11:56.221000,2025-12-01 15:13:00.525468,0 days 00:01:04.304468,0.9976422239207108,0.2661339353750227,120,1.7169820194155547,0.00016666580070431302,30,0.00031934907591057456,COMPLETE
17,0.2857064863722637,2025-12-01 15:13:00.599225,2025-12-01 15:14:04.644090,0 days 00:01:04.044865,0.9973917457741996,0.34767494440553876,120,1.6184739223077547,0.00016617409540378247,30,0.0007097325993318224,COMPLETE
18,0.28647513999781493,2025-12-01 15:14:04.704748,2025-12-01 15:14:40.120842,0 days 00:00:35.416094,0.9976489093995761,0.22506315181714565,63,1.247725542498963,0.00015574215669197092,29,0.0003006776167372219,COMPLETE
19,0.28555870597453553,2025-12-01 15:14:40.183118,2025-12-01 15:15:44.553828,0 days 00:01:04.370710,0.9982857519442623,0.12497905928834696,120,2.1848472294415515,0.00017497263418892183,18,0.0003988959267364213,COMPLETE
20,0.28896893977626803,2025-12-01 15:15:44.620457,2025-12-01 15:16:24.837668,0 days 00:00:40.217211,0.9945968067493796,0.08451250800854981,73,1.7823482722065993,0.0006177599091994254,25,0.0001162153338925004,COMPLETE
21,0.29865352558769803,2025-12-01 15:16:24.900694,2025-12-01 15:16:49.733082,0 days 00:00:24.832388,0.9982689862308806,0.1102976213450052,118,2.1251572001622634,0.00023670050203969663,19,0.0004156857444324809,COMPLETE
22,0.2860749877520267,2025-12-01 15:16:49.796984,2025-12-01 15:17:53.659251,0 days 00:01:03.862267,0.9985183352850566,0.27365973602262106,120,2.3538805337370396,0.00018319117674400805,30,0.00043889994898944196,COMPLETE
23,0.2853363379605414,2025-12-01 15:17:53.723617,2025-12-01 15:18:52.817969,0 days 00:00:59.094352,0.9964984556255333,0.20472054425351113,110,1.995737520620679,0.00012544281804213037,18,0.00015226623714770747,COMPLETE
24,0.2996886777927017,2025-12-01 15:18:52.881930,2025-12-01 15:19:27.598835,0 days 00:00:34.716905,0.9966054361428026,0.19894837268574467,109,1.9476743564804433,4.885026088440396e-05,13,0.00013258038376536002,COMPLETE
25,0.286268810000582,2025-12-01 15:19:27.663083,2025-12-01 15:20:19.167998,0 days 00:00:51.504915,0.9952535405224249,0.3122145181952026,95,1.6766065825248078,0.00011831185839837408,28,7.759421217415127e-05,COMPLETE
26,0.28373228334913064,2025-12-01 15:20:19.232678,2025-12-01 15:21:18.731294,0 days 00:00:59.498616,0.9969503148311207,0.21369535133311185,111,1.9753605517513961,0.00022192841963363452,24,0.00022598678712679526,COMPLETE
27,0.2972650308973157,2025-12-01 15:21:18.795781,2025-12-01 15:22:03.947918,0 days 00:00:45.152137,0.9973735564774543,0.359255049180764,100,1.3510323200842211,0.0005969655647581001,24,0.00019215805391314272,COMPLETE
28,0.2912479121126504,2025-12-01 15:22:04.011903,2025-12-01 15:22:55.033118,0 days 00:00:51.021215,0.9958301947559607,0.4989740209009158,112,1.839123015232429,0.00023160991971124127,28,0.0006189190070349665,COMPLETE
29,0.32666600131890106,2025-12-01 15:22:55.097049,2025-12-01 15:23:42.256808,0 days 00:00:47.159759,0.9924804112060133,0.267340084551228,87,1.6115132875441662,1.014630056331339e-05,24,0.0002519413504988665,COMPLETE
30,0.28820426200811583,2025-12-01 15:23:42.335149,2025-12-01 15:24:26.175311,0 days 00:00:43.840162,0.9969893966293343,0.29711647959034737,80,2.3589912163415074,0.0005381820700081672,30,8.562256488326598e-05,COMPLETE
31,0.2836455349090545,2025-12-01 15:24:26.236882,2025-12-01 15:25:26.744723,0 days 00:01:00.507841,0.9945500285663722,0.1796142188739719,113,2.02893377207729,0.0001353169447658428,20,0.0001780151017920487,COMPLETE
32,0.2845824343009138,2025-12-01 15:25:26.807475,2025-12-01 15:26:21.964035,0 days 00:00:55.156560,0.9990182407608807,0.17182656710505864,103,2.061071249633612,0.00023202306860375566,20,0.00022039104526784274,COMPLETE
33,0.2885330596821473,2025-12-01 15:26:22.028080,2025-12-01 15:27:23.322232,0 days 00:01:01.294152,0.9943560052777859,0.23434861753574285,114,1.9161799203447334,0.00010027675283231817,24,5.0328991787521585e-05,COMPLETE
34,0.30011331850530193,2025-12-01 15:27:23.386835,2025-12-01 15:28:20.657348,0 days 00:00:57.270513,0.9900327410238984,0.041078953428105885,107,1.6975698212029011,7.14498408594948e-05,27,3.529601069329286e-05,COMPLETE
35,0.302685677574638,2025-12-01 15:28:20.718426,2025-12-01 15:28:33.161575,0 days 00:00:12.443149,0.9978200147073711,0.21223619676391464,94,2.2834974970257784,0.0001400802609706053,3,9.95889244603727e-05,COMPLETE
36,0.29237773494700775,2025-12-01 15:28:33.224667,2025-12-01 15:29:34.716718,0 days 00:01:01.492051,0.9959202148524637,0.3399111557952258,114,1.913264404183638,5.785597244618608e-05,23,0.0003104539047471751,COMPLETE
