number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_epochs,params_lr,params_patience,params_weight_decay,state
0,0.30008880625743184,2025-11-27 17:27:00.728305,2025-11-27 17:27:43.727136,0 days 00:00:42.998831,0.12598603973082384,73,0.00021091791081011936,15,1.533059966284653e-06,COMPLETE
1,0.31503924587869775,2025-11-27 17:27:43.797108,2025-11-27 17:28:45.355293,0 days 00:01:01.558185,0.4749282176367803,111,1.5649363893310445e-05,22,0.0007155575337967992,COMPLETE
2,0.3348952810954785,2025-11-27 17:28:45.422762,2025-11-27 17:29:01.814354,0 days 00:00:16.391592,0.3109147043949115,44,2.2336371261535747e-05,3,6.15274551074126e-05,COMPLETE
3,0.3388220311524783,2025-11-27 17:29:01.876274,2025-11-27 17:29:33.682837,0 days 00:00:31.806563,0.39215124145119384,54,1.1664917801042525e-05,18,0.0006241181398194338,COMPLETE
4,0.2924376972450698,2025-11-27 17:29:33.745549,2025-11-27 17:30:20.142881,0 days 00:00:46.397332,0.490428673579958,82,0.00012639815568036308,13,0.00015593777790507812,COMPLETE
5,0.30957540795822774,2025-11-27 17:30:20.207798,2025-11-27 17:30:35.697798,0 days 00:00:15.490000,0.26038039739416313,54,0.00055079883260015,6,0.0004562850564321916,COMPLETE
6,0.32170932352050274,2025-11-27 17:30:35.760171,2025-11-27 17:30:53.278026,0 days 00:00:17.517855,0.1288246250717207,27,6.424946982390569e-05,19,2.7277053216849777e-05,COMPLETE
7,0.3097027392426798,2025-11-27 17:30:53.341031,2025-11-27 17:31:51.561434,0 days 00:00:58.220403,0.31951157703746136,103,2.444906979998231e-05,30,0.0005187950901474316,COMPLETE
8,0.3147444206164231,2025-11-27 17:31:51.628976,2025-11-27 17:32:39.041538,0 days 00:00:47.412562,0.3596720533449821,86,0.0007012320225077075,19,0.0006131371701221183,COMPLETE
9,0.3471104895116212,2025-11-27 17:32:39.117845,2025-11-27 17:33:08.483577,0 days 00:00:29.365732,0.04809039214539207,49,2.484028356346977e-05,22,4.989235815019053e-06,COMPLETE
10,0.29251465915648406,2025-11-27 17:33:08.547508,2025-11-27 17:33:52.959361,0 days 00:00:44.411853,0.4690987885182603,90,0.00013306201176807247,11,9.37037568954631e-05,COMPLETE
11,0.2938495076392308,2025-11-27 17:33:53.023303,2025-11-27 17:34:43.932290,0 days 00:00:50.908987,0.49421516537624,91,0.00013182057877351587,11,9.565739856162268e-05,COMPLETE
