number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_ecfp_bits,params_hidden_units,state
0,0.33283027648925784,2025-12-09 12:30:32.825977,2025-12-09 12:31:24.210898,0 days 00:00:51.384921,0.1277012375808646,2048,2000,COMPLETE
1,0.35576385116577147,2025-12-09 12:31:24.263802,2025-12-09 12:32:10.858680,0 days 00:00:46.594878,0.16780656861567833,2048,512,COMPLETE
2,0.3316539421081543,2025-12-09 12:32:10.886202,2025-12-09 12:32:54.643644,0 days 00:00:43.757442,0.2845985370508862,1024,1024,COMPLETE
3,0.33160685348510743,2025-12-09 12:32:54.714004,2025-12-09 12:33:40.057919,0 days 00:00:45.343915,0.3244059552374761,1024,1024,COMPLETE
4,0.3439516181945801,2025-12-09 12:33:40.108074,2025-12-09 12:34:29.669791,0 days 00:00:49.561717,0.18326132686224447,2048,1024,COMPLETE
5,0.34157386779785154,2025-12-09 12:34:29.697532,2025-12-09 12:35:14.046046,0 days 00:00:44.348514,0.25897394302205456,1024,512,COMPLETE
6,0.35784320068359377,2025-12-09 12:35:14.074291,2025-12-09 12:36:01.596596,0 days 00:00:47.522305,0.4564200314170045,2048,512,COMPLETE
7,0.3402910842895508,2025-12-09 12:36:01.624163,2025-12-09 12:36:47.358361,0 days 00:00:45.734198,0.2910563897631285,2048,1024,COMPLETE
8,0.35927360916137696,2025-12-09 12:36:47.387370,2025-12-09 12:37:32.281815,0 days 00:00:44.894445,0.10125639733546268,2048,512,COMPLETE
9,0.3383470573425293,2025-12-09 12:37:32.309060,2025-12-09 12:38:14.906661,0 days 00:00:42.597601,0.12642665237868692,1024,512,COMPLETE
10,0.3401405601501465,2025-12-09 12:38:14.934437,2025-12-09 12:39:09.255290,0 days 00:00:54.320853,0.4384831097377092,4096,2000,COMPLETE
11,0.32976786041259765,2025-12-09 12:39:09.283769,2025-12-09 12:39:56.469136,0 days 00:00:47.185367,0.3636174079743601,1024,1024,COMPLETE
12,0.33135069274902346,2025-12-09 12:39:56.517738,2025-12-09 12:40:41.060566,0 days 00:00:44.542828,0.3789545013850235,512,1024,COMPLETE
13,0.3315202178955078,2025-12-09 12:40:41.088849,2025-12-09 12:41:26.224801,0 days 00:00:45.135952,0.3844968674669473,512,1024,COMPLETE
14,0.32993848419189453,2025-12-09 12:41:26.252135,2025-12-09 12:42:12.463591,0 days 00:00:46.211456,0.37369496734282526,512,1024,COMPLETE
15,0.32949866104125974,2025-12-09 12:42:12.491235,2025-12-09 12:42:57.005731,0 days 00:00:44.514496,0.37593701758813663,512,1024,COMPLETE
16,0.3386166534423828,2025-12-09 12:42:57.056174,2025-12-09 12:43:55.536154,0 days 00:00:58.479980,0.4201943372227363,4096,2000,COMPLETE
17,0.3277349166870117,2025-12-09 12:43:55.564114,2025-12-09 12:44:40.626897,0 days 00:00:45.062783,0.3407406875200604,512,1024,COMPLETE
