n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.4353000774151749,0.7059693104445429,0.6992585048946672,89
0,5000,1,0.5122599278887113,0.7074754209952208,0.7026353665081061,98
0,5000,2,0.4310999631157352,0.7127243421898134,0.7057419196361312,99
0,5000,3,0.4232511478993628,0.7148135530941273,0.7075847330793081,97
0,5000,4,0.475673696026206,0.709298002073215,0.703505663303838,94
1,4999,0,0.4402868068880505,0.7070777006210538,0.7004630507480548,85
1,4999,1,0.5106080431077216,0.7072497240036179,0.7023743102814458,93
1,4999,2,0.4488560122748216,0.7097043590514925,0.7032370431446175,92
1,4999,3,0.41725394129753113,0.7152959926522173,0.7079065192090578,78
1,4999,4,0.48436895861393875,0.7101723818413619,0.704573950043959,96
2,4998,0,0.44914094420770806,0.7068887839378595,0.7004983447092527,92
2,4998,1,0.5247295912769105,0.7085801587258544,0.7040218796155135,88
2,4998,2,0.48700390104204416,0.7075476197375901,0.70207959615315,92
2,4998,3,0.41213305646346676,0.7110541572743017,0.7036428904505934,91
2,4998,4,0.49704377808504635,0.7077273666098356,0.7025038058915722,81
5,4995,0,0.44264353315035504,0.7049314156358819,0.6984284098719352,78
5,4995,1,0.5221045584314399,0.7048839673868217,0.7003522445768446,99
5,4995,2,0.4697377284367879,0.7096730628403398,0.7037242527476437,81
5,4995,3,0.4358111069434219,0.709761783664804,0.702969618452092,86
5,4995,4,0.5134413399630122,0.7099795840972624,0.7051067351396952,97
10,4990,0,0.5049767003705105,0.7070025112190531,0.7019936089832387,82
10,4990,1,0.5335690048005846,0.7058672463050438,0.7015953891931137,93
10,4990,2,0.567036624170012,0.7126989589989616,0.7090874953598256,90
10,4990,3,0.40500841558807427,0.7120294678603736,0.7044173748547996,93
10,4990,4,0.5135133065697219,0.7116505440796783,0.7067380494472748,84
20,4980,0,0.46084950905707145,0.7078978719313413,0.7017727069949254,99
20,4980,1,0.5509509539438618,0.7083063395825441,0.704404967559948,94
20,4980,2,0.5358342855340905,0.7110323637558179,0.706688613253684,98
20,4980,3,0.5067499987781048,0.7140844174487105,0.7089438959956169,97
20,4980,4,0.6519307254089249,0.706718306728023,0.7053599367174769,99
50,4950,0,0.6117413143316904,0.7075939086294801,0.7052173981168526,77
50,4950,1,0.6429352089762688,0.7060366167685564,0.7044721206890024,99
50,4950,2,0.6614155193997754,0.7040337387966992,0.7029770887777538,32
50,4950,3,0.5407975090460645,0.7129648401044141,0.7086962308637161,86
50,4950,4,0.7068761686484019,0.7101852963270756,0.7101032532156335,94
80,4920,0,0.6221237385438548,0.7025585617530712,0.7005643117082493,38
80,4920,1,0.6824089893036418,0.7100020581803753,0.7093179307739473,94
80,4920,2,0.7134173653191991,0.7117250307455217,0.711766987150027,99
80,4920,3,0.6120021202498012,0.7127847193850804,0.7102859771551344,97
80,4920,4,0.7068052010403739,0.712171238102545,0.7120381963064705,91
100,4900,0,0.6465509062012037,0.7065457866861259,0.7050583111981735,99
100,4900,1,0.6918068039748404,0.705544937438842,0.7052043227263349,97
100,4900,2,0.7138727216256989,0.7088150674737674,0.7089404640218997,92
100,4900,3,0.6200829299373759,0.7129334904500784,0.7106314111454797,100
100,4900,4,0.7476981803774834,0.7077088080962204,0.7087002808212741,94
120,4880,0,0.6844692710373137,0.7086068337407005,0.7080083828491285,87
120,4880,1,0.6981497729818026,0.7087165192269462,0.7084545336571361,86
120,4880,2,0.7229923945334222,0.7098855750666837,0.7102105379766546,94
120,4880,3,0.6608948070142004,0.7140932966755061,0.7127743270530393,96
120,4880,4,0.7667530261807971,0.7078528078101933,0.7093131458168701,88
