n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.4409549097634024,0.7084248542251581,0.7017933692505388,107
0,5000,1,0.5158050221701463,0.7061729568890743,0.7014530911341248,116
0,5000,2,0.43558516746593845,0.7138871299300217,0.7069870814098655,117
0,5000,3,0.3968641095691257,0.71469256690556,0.7068125221085512,114
0,5000,4,0.5071304957899783,0.7136340503591392,0.7085141294351047,114
120,4880,0,0.6305832428236803,0.6968400440606983,0.6951973142737995,110
120,4880,1,0.6920057551728355,0.6986039217579899,0.698440330335229,101
120,4880,2,0.6977539205302795,0.7040004293239639,0.7038455595552264,107
120,4880,3,0.6317363356550535,0.7026696451492397,0.700910969095987,116
120,4880,4,0.7485687368445926,0.7007301366351292,0.7019162194177344,117
