n_pos_req,n_neg_req,seed,pos_acc,neg_acc,overall_acc,best_epoch
0,5000,0,0.4528121542599466,0.7096897773632102,0.7033209123782758,118
0,5000,1,0.5069179646670818,0.7038933132297628,0.6990096285360667,104
0,5000,2,0.4406372838550144,0.7151493902796995,0.708343303564823,98
0,5000,3,0.4077231733956271,0.7160324067282516,0.7083883769438184,117
0,5000,4,0.4752546217706468,0.7108465572404754,0.7050054366273816,109
120,4880,0,0.632305814160241,0.7070256569856872,0.7051730999587099,105
120,4880,1,0.7159270942211151,0.7076768119987837,0.7078813664184129,107
120,4880,2,0.72955222427845,0.7107245363479238,0.7111913382971131,110
120,4880,3,0.6440875778595606,0.7099936074066886,0.7083595735367295,108
120,4880,4,0.7515488912661871,0.708932449381488,0.7099890565087881,106
