F=0mol
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.086912  0.590560  0.058726  0.226108  0.037694
Non-F         0.096550  0.594108  0.058815  0.214943  0.035585

F=1mol
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.081336  0.611468  0.063716  0.210836  0.032645
General       0.099206  0.577970  0.060195  0.230656  0.031973

F=2mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.108645  0.584668  0.062507  0.197073  0.047108
Non-F         0.096961  0.576211  0.059748  0.215098  0.051983

F=5mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.065997  0.611000  0.060190  0.235478  0.027335
Non-F         0.078238  0.603393  0.055535  0.230754  0.032079

F=10mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d                                                                            
Group                                                                                                                                             
F-containing  0.082781  0.517893  0.077629  0.286765  0.034932                                                    
General       0.089259  0.575085  0.071375  0.228478  0.035804 

F=20mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.071524  0.553353  0.120786  0.209158  0.045180
Non-F         0.076936  0.603178  0.056391  0.221732  0.041763

F=50mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.071570  0.541353  0.142310  0.210141  0.034625
Non-F         0.082724  0.578335  0.061133  0.236631  0.041176

F=100mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.077802  0.583026  0.048252  0.257663  0.033257
General       0.082770  0.604063  0.036964  0.243941  0.032262

F=120mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.081213  0.589519  0.070366  0.221906  0.036994
Non-F         0.089849  0.570266  0.064226  0.229764  0.045894

F=170mols
Feature           bert      ecfp      flag   rdkit2d   rdkit3d
Group                                                         
F-containing  0.106176  0.556980  0.045704  0.252756  0.038384
General       0.089213  0.589521  0.046264  0.233072  0.041931
