split_mode,feature_type,n_train,n_val,n_test,seed,n_pos_req,n_neg_req,pos_metric,neg_metric,overall_metric,best_epoch
domain,ecfp+bert+flag,,,,0,0,7000,0.40247335807523793,0.6735632807327256,0.6667766061848514,6
domain,ecfp+bert+flag,,,,1,0,7000,0.4171483868526088,0.6780214757072645,0.6714905771674259,6
domain,ecfp+bert+flag,,,,2,0,7000,0.4746179181254572,0.673521094863833,0.6685415990184345,8
domain,ecfp+bert+flag,,,,3,0,7000,0.3924594567053848,0.6773435872891113,0.6702115807131125,7
domain,ecfp+bert+flag,,,,4,0,7000,0.4260250847372744,0.6664512361215159,0.660432222768825,7
domain,ecfp+bert+flag,,,,0,1,6999,0.42405020642197794,0.6716837103381625,0.6654842626782697,7
domain,ecfp+bert+flag,,,,1,1,6999,0.4065998275246885,0.6786588688411573,0.6718479339758735,7
domain,ecfp+bert+flag,,,,2,1,6999,0.4272402257968982,0.6722042143621221,0.6660715953702099,5
domain,ecfp+bert+flag,,,,3,1,6999,0.36940837361746365,0.6753647790002117,0.6677052311998207,9
domain,ecfp+bert+flag,,,,4,1,6999,0.4369853091710765,0.6674857967775302,0.6617152703048723,9
domain,ecfp+bert+flag,,,,0,2,6998,0.4594817399564717,0.670963604907278,0.66566920501759,6
domain,ecfp+bert+flag,,,,1,2,6998,0.41900634703536827,0.6790328862905481,0.6725231811808363,7
domain,ecfp+bert+flag,,,,2,2,6998,0.4456118883358108,0.6746760958206333,0.6689415258747754,6
domain,ecfp+bert+flag,,,,3,2,6998,0.39264768527613747,0.681008704146171,0.6737896531997754,7
domain,ecfp+bert+flag,,,,4,2,6998,0.4480166820188363,0.6684356299614249,0.662917492726639,6
domain,ecfp+bert+flag,,,,0,5,6995,0.44880560951100457,0.6712208453296138,0.6656527317249539,6
domain,ecfp+bert+flag,,,,1,5,6995,0.42490342031750417,0.678975687860963,0.6726150480110357,5
domain,ecfp+bert+flag,,,,2,5,6995,0.4711926854732964,0.6674299410088639,0.6625171874174447,7
domain,ecfp+bert+flag,,,,3,5,6995,0.3808537878923946,0.6798339543914617,0.6723490562626732,7
domain,ecfp+bert+flag,,,,4,5,6995,0.4277734565031197,0.671176028984616,0.6650825013135856,7
domain,ecfp+bert+flag,,,,0,10,6990,0.48221323846115005,0.6718190316743246,0.6670722945104969,10
domain,ecfp+bert+flag,,,,1,10,6990,0.4369500426368581,0.6777467095743488,0.6717184212872233,5
domain,ecfp+bert+flag,,,,2,10,6990,0.4543723327418168,0.67169404059606,0.6662534406908655,6
domain,ecfp+bert+flag,,,,3,10,6990,0.3936372146838241,0.677240567043033,0.6701406200014195,9
domain,ecfp+bert+flag,,,,4,10,6990,0.4835856469968955,0.6734814479377137,0.6687274498026947,5
domain,ecfp+bert+flag,,,,0,20,6980,0.4840083923190832,0.6695294523672779,0.6648849767097822,8
domain,ecfp+bert+flag,,,,1,20,6980,0.5130337137315009,0.6752198172526264,0.6711595266941165,7
domain,ecfp+bert+flag,,,,2,20,6980,0.5032508040053977,0.6683156680961414,0.6641833083833644,8
domain,ecfp+bert+flag,,,,3,20,6980,0.45671204808685517,0.6777790597202881,0.6722446979478167,8
domain,ecfp+bert+flag,,,,4,20,6980,0.4894294239994552,0.6704571698805565,0.6659251841086952,6
domain,ecfp+bert+flag,,,,0,50,6950,0.5767802791669965,0.6659415439727813,0.6637094141332555,8
domain,ecfp+bert+flag,,,,1,50,6950,0.5337729855544038,0.6726404533757377,0.6691639390210614,8
domain,ecfp+bert+flag,,,,2,50,6950,0.5591955102152295,0.6702922769090142,0.6675109940299943,8
domain,ecfp+bert+flag,,,,3,50,6950,0.5097349226060841,0.6740535186406373,0.6699398392610646,9
domain,ecfp+bert+flag,,,,4,50,6950,0.577618797413177,0.6706569192249503,0.6683277322370584,9
domain,ecfp+bert+flag,,,,0,100,6900,0.6544640051821867,0.6693396338483534,0.668967224543549,6
domain,ecfp+bert+flag,,,,1,100,6900,0.6452869098219607,0.6749333224622015,0.674191130542809,6
domain,ecfp+bert+flag,,,,2,100,6900,0.6126901962690883,0.6698567217346095,0.6684255711889732,7
domain,ecfp+bert+flag,,,,3,100,6900,0.587775916688972,0.6708213309561448,0.668742307051511,6
domain,ecfp+bert+flag,,,,4,100,6900,0.5806573505202929,0.6669517321413789,0.6647913727769433,7
domain,ecfp+bert+flag,,,,0,120,6880,0.6700553475982614,0.6675519135282016,0.6676145865603504,7
domain,ecfp+bert+flag,,,,1,120,6880,0.6428882280985514,0.6782438836788517,0.6773587629368713,5
domain,ecfp+bert+flag,,,,2,120,6880,0.6120958146121767,0.671630884675487,0.6701404388484925,7
domain,ecfp+bert+flag,,,,3,120,6880,0.5738910142746236,0.6759139760297732,0.6733598544693685,8
domain,ecfp+bert+flag,,,,4,120,6880,0.5891435833440887,0.6680547599225689,0.6660792367440235,6
domain,ecfp+bert+flag,,,,0,170,6830,0.714960201539927,0.6678159593766589,0.6689962048312812,8
domain,ecfp+bert+flag,,,,1,170,6830,0.6729961236317953,0.6736792118212849,0.6736621121423881,9
domain,ecfp+bert+flag,,,,2,170,6830,0.6649939508901702,0.6774560942093858,0.6771441074926114,8
domain,ecfp+bert+flag,,,,3,170,6830,0.5971271151469814,0.6777497612281348,0.6757313926090255,7
domain,ecfp+bert+flag,,,,4,170,6830,0.6025888779097133,0.6667627824481029,0.6651562037832403,7
domain,ecfp+rdkit2d+flag,,,,0,0,7000,0.3997902673565679,0.6799645114838865,0.6729504154782654,6
domain,ecfp+rdkit2d+flag,,,,1,0,7000,0.39973522370888126,0.6839914148296103,0.6768751250274262,8
domain,ecfp+rdkit2d+flag,,,,2,0,7000,0.45135508063766694,0.6840426766243198,0.6782173962851724,7
domain,ecfp+rdkit2d+flag,,,,3,0,7000,0.39536358084943557,0.6869763759344806,0.6796759163516526,9
domain,ecfp+rdkit2d+flag,,,,4,0,7000,0.44153283774438834,0.6803064495441338,0.6743288061387904,6
domain,ecfp+rdkit2d+flag,,,,0,1,6999,0.4129994676137964,0.6780628684971922,0.6714270676412362,8
domain,ecfp+rdkit2d+flag,,,,1,1,6999,0.41828980752163464,0.689222650293403,0.682439907352111,8
domain,ecfp+rdkit2d+flag,,,,2,1,6999,0.4419253460235066,0.6791348069502352,0.6731963211227524,8
domain,ecfp+rdkit2d+flag,,,,3,1,6999,0.38215539811386,0.6850980023485469,0.6775139056117648,5
domain,ecfp+rdkit2d+flag,,,,4,1,6999,0.4611895817021529,0.6776493514274192,0.6722303301993607,6
domain,ecfp+rdkit2d+flag,,,,0,2,6998,0.45228497756438124,0.6844898903830118,0.6786766933336833,6
domain,ecfp+rdkit2d+flag,,,,1,2,6998,0.4169017475926214,0.6831227039507113,0.6764579223114634,9
domain,ecfp+rdkit2d+flag,,,,2,2,6998,0.4081464492612415,0.6766061015767889,0.6698852755762092,7
domain,ecfp+rdkit2d+flag,,,,3,2,6998,0.3812627484504547,0.6821409969958616,0.6746085790984633,9
domain,ecfp+rdkit2d+flag,,,,4,2,6998,0.438582484713859,0.6806347267217296,0.6745750046884369,6
domain,ecfp+rdkit2d+flag,,,,0,5,6995,0.4181333612650633,0.6827765253137335,0.6761512444542412,7
domain,ecfp+rdkit2d+flag,,,,1,5,6995,0.4226387416323026,0.6918014936101292,0.6850630661060771,6
domain,ecfp+rdkit2d+flag,,,,2,5,6995,0.47639408459266025,0.6799390101632616,0.6748433089782697,7
domain,ecfp+rdkit2d+flag,,,,3,5,6995,0.375881711848908,0.6843654591784136,0.6766426402269778,6
domain,ecfp+rdkit2d+flag,,,,4,5,6995,0.4261769942111439,0.6798742611543109,0.6735230099943483,7
