n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4418489796419938,0.5221467895932572,0.5197378543969243,3
500,500,1000,1,0.4476667556323503,0.5638042925444036,0.5615976809300482,70
500,500,1000,2,0.4767600931227207,0.5286563189296993,0.5270994311794639,3
500,500,1000,3,0.3855833787293661,0.5336087484395967,0.5305002165324986,3
500,500,1000,4,0.42264213963695196,0.5371707526546547,0.5345365951410495,3
1000,500,1000,0,0.5531703691397395,0.6073522095265702,0.6058351199999452,68
1000,500,1000,1,0.4806306722917055,0.6129517552160889,0.6104376585260034,88
1000,500,1000,2,0.5536056676736245,0.6059941779640436,0.6046320752063766,97
1000,500,1000,3,0.45263401567935946,0.616781209074721,0.6134982647206634,88
1000,500,1000,4,0.4782919013606651,0.5845308408501401,0.5815561495386065,3
2000,500,1000,0,0.6500416242558024,0.6430458053617625,0.6432067070878111,48
2000,500,1000,1,0.5609277779093156,0.6469974157857485,0.6447596063259989,77
2000,500,1000,2,0.6109298174419711,0.631357638540671,0.6307243764740414,73
2000,500,1000,3,0.6518661357462406,0.6444107566028834,0.6445598643086851,56
2000,500,1000,4,0.6159570018450419,0.6519070948649687,0.6510442941114306,60
5000,500,1000,0,0.6873566785029003,0.673576924828118,0.6738662984259427,13
5000,500,1000,1,0.7138781043989905,0.6734444709738331,0.6746170440558344,43
5000,500,1000,2,0.6630518997416777,0.672969005672244,0.6728004125244915,13
5000,500,1000,3,0.6541254669427872,0.6726267693756321,0.6720717290509493,27
5000,500,1000,4,0.6684689129392306,0.6705244685801649,0.6704628022834659,66
7000,500,1000,0,0.7355833510557811,0.6744163632757731,0.6762513719256967,16
7000,500,1000,1,0.7239933130533799,0.6881136476934936,0.6889388810175006,16
7000,500,1000,2,0.6931062660046986,0.6883632566188144,0.6884628598559648,12
7000,500,1000,3,0.6399011827748398,0.6796861328338066,0.6785323702283204,13
7000,500,1000,4,0.6467002984136343,0.6895134549045335,0.6881434337105602,5
