n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4041585562129815,0.4735547704164889,0.47147288265486714,3
500,500,1000,1,0.32487791462948445,0.4841414780501242,0.48111547164805235,3
500,500,1000,2,0.4755356724063555,0.4691838515077516,0.4693744070921093,3
500,500,1000,3,0.3235532896859305,0.4880913796114514,0.4846360788512975,3
500,500,1000,4,0.4021065844141919,0.4855467482420407,0.4836276242588647,3
1000,500,1000,0,0.41959543047206743,0.5126238704751027,0.5100190742854029,2
1000,500,1000,1,0.35675050592736196,0.5155907422797821,0.5125727778598667,3
1000,500,1000,2,0.4376602436487491,0.5119889334109048,0.5100563871380873,3
1000,500,1000,3,0.3188749380409718,0.5251271514749458,0.5210021062749438,2
1000,500,1000,4,0.4189952739647457,0.5265693853421466,0.523557308819145,3
2000,500,1000,0,0.543589732569197,0.5571140350264896,0.5568029763605445,2
2000,500,1000,1,0.48390472780626553,0.5540221198477487,0.5521990670716623,2
2000,500,1000,2,0.5276661395065246,0.5417520260102893,0.5413153637223878,3
2000,500,1000,3,0.48636226877570155,0.5484850193373859,0.5472425634441898,2
2000,500,1000,4,0.5365071203559637,0.5561296800475903,0.5556587394420057,3
5000,500,1000,0,0.5893392108735585,0.6115122139720252,0.61104658126086,6
5000,500,1000,1,0.6223675269505073,0.62055806631278,0.6206105422060937,4
5000,500,1000,2,0.6097183648277732,0.6062225769344994,0.6062820059731603,6
5000,500,1000,3,0.6202477445205052,0.6199975280417609,0.6200050338860601,4
5000,500,1000,4,0.5771351625521978,0.6025959744934262,0.601832150939852,5
7000,500,1000,0,0.6564347922801972,0.619579622860921,0.6206852771081031,10
7000,500,1000,1,0.7129134950430497,0.6249188366941841,0.6269427138920873,9
7000,500,1000,2,0.6456669242609114,0.6298378312730053,0.6301702437065542,6
7000,500,1000,3,0.6103637382901949,0.6204407013689929,0.6201484710788354,6
7000,500,1000,4,0.5934427664615214,0.6310560257358799,0.6298524014391005,6
