n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.500628158946832,0.5475740863581563,0.5461657082266175,68
500,500,1000,1,0.41026383756022705,0.5509591100416569,0.5482859016340226,83
500,500,1000,2,0.485250324010849,0.5457819420460266,0.5439659939594567,70
500,500,1000,3,0.38671321350903737,0.5623773042496915,0.558688357681036,96
500,500,1000,4,0.4607325474853101,0.5563870606354858,0.5541870084060356,69
1000,500,1000,0,0.5030192389552083,0.5484853175491738,0.547212266465649,3
1000,500,1000,1,0.4404581644033131,0.5652951201569729,0.5629232182102278,3
1000,500,1000,2,0.5362783693350278,0.5955788307695112,0.5940370192863047,79
1000,500,1000,3,0.39843291938304903,0.5766671114011991,0.5731024270281195,3
1000,500,1000,4,0.4964077627020223,0.5712779853876235,0.5691816200613975,3
2000,500,1000,0,0.5794247427712316,0.585499529077195,0.5853598093646869,2
2000,500,1000,1,0.5010652860196737,0.5839342245945871,0.5817796314205043,2
2000,500,1000,2,0.5566682909284869,0.5714131407151374,0.5709560516756028,2
2000,500,1000,3,0.5309745095670223,0.5823165388806362,0.5812896975828334,2
2000,500,1000,4,0.5647741220891476,0.5894529018780125,0.5888606107272207,2
5000,500,1000,0,0.6734263946612676,0.6640552687929587,0.6642520619947463,43
5000,500,1000,1,0.6908739517474997,0.6519447145782158,0.653073661159724,45
5000,500,1000,2,0.6174000694471247,0.656121741677137,0.6554634740334004,46
5000,500,1000,3,0.6343426068623861,0.6513722771721095,0.6508613840378821,27
5000,500,1000,4,0.6379757687449455,0.6483332416753179,0.6480225159898401,29
7000,500,1000,0,0.7232622375090917,0.6549509588091337,0.6570002979077398,23
7000,500,1000,1,0.6902462814165198,0.6547675929971215,0.6555836009010673,33
7000,500,1000,2,0.6994390728927794,0.6671451815500079,0.6678233537375927,30
7000,500,1000,3,0.618349040376729,0.6570359155742872,0.6559139969237149,26
7000,500,1000,4,0.6583297373726964,0.6639176262658059,0.6637388144535944,51
