n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.39427042851845423,0.469722170131185,0.4674586155200377,3
500,500,1000,1,0.3133045697682782,0.477059951554756,0.4739485995406285,3
500,500,1000,2,0.41841872160633403,0.4736086987767887,0.47195299950265324,3
500,500,1000,3,0.32032935605162666,0.47926273921784535,0.4759251380567439,3
500,500,1000,4,0.3626412072259447,0.48170466133929074,0.47896620325092226,3
1000,500,1000,0,0.44571576214262415,0.5072851220386018,0.5055611820104241,3
1000,500,1000,1,0.3661368504950875,0.506006498878338,0.5033489777161739,3
1000,500,1000,2,0.470750100337542,0.5123598587121222,0.51127800498344,3
1000,500,1000,3,0.3358967386186123,0.5103903566734219,0.5069004850098863,3
1000,500,1000,4,0.42700728960335255,0.5162211256274195,0.5137231392711401,2
2000,500,1000,0,0.545255378536556,0.5497460837457844,0.5496427953951061,2
2000,500,1000,1,0.45898833068517536,0.5390872563612198,0.5370046860445291,2
2000,500,1000,2,0.5118294944686275,0.5320914798104796,0.5314633584250696,3
2000,500,1000,3,0.48858639150857924,0.5437113136088723,0.5426088153996971,3
2000,500,1000,4,0.5070532268534104,0.5424432238825353,0.5415938649298623,2
5000,500,1000,0,0.5272750272637322,0.5993089322724027,0.5977962206453085,5
5000,500,1000,1,0.5937110694317982,0.60582209858817,0.6054708778578788,4
5000,500,1000,2,0.5707908202620113,0.5962879174329258,0.5958544668406248,7
5000,500,1000,3,0.5975275178750356,0.6036029073016085,0.603420647662133,4
5000,500,1000,4,0.527610968053341,0.5889652027796531,0.5871245763320476,4
7000,500,1000,0,0.625603870054086,0.610620030418,0.6110695459349081,9
7000,500,1000,1,0.672619206101998,0.6137566875166879,0.61511052653566,7
7000,500,1000,2,0.617600217461586,0.6152507310335555,0.6153000680841505,5
7000,500,1000,3,0.5766382618197079,0.6085032728691533,0.6075791898760945,6
7000,500,1000,4,0.5822477200999856,0.6151731559123521,0.6141195403793827,4
