n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.3966242204109828,0.5140399133940179,0.5105174437658861,3
500,500,1000,1,0.4257246710752186,0.5317340337829882,0.5297198568508029,3
500,500,1000,2,0.4995945394660036,0.5176378546477075,0.5170965551997069,3
500,500,1000,3,0.354988626071385,0.531788243968287,0.5280754499956966,3
500,500,1000,4,0.4802988676921181,0.535800060293539,0.5345235336050391,3
1000,500,1000,0,0.4865926871342318,0.5609452994502008,0.5588634255640209,2
1000,500,1000,1,0.4628360710645977,0.6157343128713173,0.6128292481955141,79
1000,500,1000,2,0.5577815289680774,0.6050489221812365,0.6038199676889926,88
1000,500,1000,3,0.3932635448873043,0.5844660075381398,0.5806419581584632,2
1000,500,1000,4,0.5334751419723034,0.6228129947289763,0.6203115353286266,92
2000,500,1000,0,0.6773968390796495,0.6423721793722533,0.6431777455275879,49
2000,500,1000,1,0.5642782696164571,0.646556004606478,0.644416783966124,59
2000,500,1000,2,0.6086298996402372,0.6246587502961388,0.6241618541488424,41
2000,500,1000,3,0.6280807629227638,0.6362260289281151,0.6360631231945008,41
2000,500,1000,4,0.6226775782803694,0.6508240642819981,0.6501485493667424,76
5000,500,1000,0,0.6678460893176851,0.6703109818827494,0.6702592177158222,4
5000,500,1000,1,0.7146382480859756,0.6648538239572646,0.6662975726332515,20
5000,500,1000,2,0.6561549025423387,0.6732646997748957,0.6729738320596517,21
5000,500,1000,3,0.666950378815333,0.673958299314776,0.6737480605337769,22
5000,500,1000,4,0.6362507708370686,0.6665858658664312,0.665675810618326,19
7000,500,1000,0,0.7396224518616994,0.6723160917630668,0.6743352832254023,10
7000,500,1000,1,0.6967708027881124,0.6870980456684971,0.6873205171860755,10
7000,500,1000,2,0.6853066328026,0.6909366783907636,0.690818446803838,4
7000,500,1000,3,0.6069887444890779,0.6840555169048933,0.6818205830566585,6
7000,500,1000,4,0.6202361048199236,0.6882844459350136,0.6861068975813687,4
