n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4104080433308175,0.5446285305693053,0.5401992530124262,3
500,500,1000,1,0.49981416642665866,0.5523343789195403,0.551021372795105,3
500,500,1000,2,0.4021490580018829,0.5448449804567915,0.5424191481657327,3
500,500,1000,3,0.3851941542234272,0.5396040819800836,0.53466296439711,3
500,500,1000,4,0.4184342128309337,0.5471545362317504,0.5443226887593046,3
1000,500,1000,0,0.4151443527503447,0.5859589720994327,0.5803220902010798,3
1000,500,1000,1,0.58529951104096,0.633804005291124,0.6331249430906027,74
1000,500,1000,2,0.5177249707854711,0.5842529056809873,0.5825231797462329,3
1000,500,1000,3,0.5070007582825999,0.6249129930996481,0.621257715608459,78
1000,500,1000,4,0.5257015355995723,0.6296519057005031,0.6267412929162383,82
2000,500,1000,0,0.6180910964806875,0.6499007453324555,0.6490418845005334,61
2000,500,1000,1,0.5240519046783447,0.6465624019767772,0.6432546168118716,34
2000,500,1000,2,0.554805126455095,0.6476027178834145,0.64593236233294,83
2000,500,1000,3,0.4901083800054732,0.6651164675863941,0.6614412987567484,47
2000,500,1000,4,0.5624054388276168,0.6450283562916871,0.6427149137761444,66
5000,500,1000,0,0.70661188113062,0.6860750317383675,0.6864652322418988,11
5000,500,1000,1,0.6531333843102822,0.6783857411022243,0.6777291797660291,12
5000,500,1000,2,0.6751469539271461,0.6843709369833049,0.6842049058619887,12
5000,500,1000,3,0.7422405421733856,0.677315414478023,0.6792631675275043,16
5000,500,1000,4,0.641363337635994,0.6811672963010711,0.679734353129752,21
7000,500,1000,0,0.656335725234105,0.6844729197993722,0.6837413507252932,7
7000,500,1000,1,0.7199204010622842,0.6843555576517127,0.6851024201530963,9
7000,500,1000,2,0.7126666835763238,0.6862108750242153,0.6867929036468268,10
7000,500,1000,3,0.6225039015213648,0.695216129335468,0.693471036311239,8
7000,500,1000,4,0.6944315044776254,0.6969921724068167,0.6969332779720425,8
