n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4523260047038396,0.5257100220311184,0.5235085000882391,3
500,500,1000,1,0.42090335645173726,0.528930507412334,0.526877992361784,3
500,500,1000,2,0.5127849956353505,0.5197454368537195,0.5195366226877086,3
500,500,1000,3,0.36189870607285274,0.5355167834257538,0.5318708045613021,3
500,500,1000,4,0.4172117408850919,0.5314304103241698,0.5288033807994797,3
1000,500,1000,0,0.5053858427064759,0.6088468900770562,0.6059499820023775,93
1000,500,1000,1,0.4801286851104937,0.6146090724728583,0.6120539453923702,81
1000,500,1000,2,0.5550248920917511,0.6065125799942493,0.6051739003141411,80
1000,500,1000,3,0.4394951693713665,0.6192846692186229,0.6156888798363507,82
1000,500,1000,4,0.5323682187923363,0.6251139793537343,0.6225171001367271,90
2000,500,1000,0,0.6712751142356707,0.641517198424855,0.6422016307697631,44
2000,500,1000,1,0.584161248917763,0.6482168439942081,0.6465513995951041,75
2000,500,1000,2,0.6184911613743151,0.6296286343181673,0.6292833721130155,69
2000,500,1000,3,0.600054245442152,0.6391914781677176,0.6384087325334549,37
2000,500,1000,4,0.6237164114912351,0.65323826937066,0.652529744580388,75
5000,500,1000,0,0.6743527093813533,0.6799841675559197,0.6798659077240155,10
5000,500,1000,1,0.7060231155362623,0.6745230032766025,0.6754365043602883,32
5000,500,1000,2,0.6462048555121702,0.6733685906498957,0.6729068064000457,15
5000,500,1000,3,0.6628538310527802,0.6736348761504842,0.6733114446075633,10
5000,500,1000,4,0.6371342534820239,0.6676194594769749,0.6667049049176276,22
7000,500,1000,0,0.7382784903049469,0.672526405962933,0.6744989672712982,9
7000,500,1000,1,0.7204483047775601,0.6846672563071047,0.6854902231916785,7
7000,500,1000,2,0.7039145429929098,0.6924107893274011,0.6926523680333048,8
7000,500,1000,3,0.6105100260726337,0.6816188425792479,0.6795566878281534,9
7000,500,1000,4,0.6305897068232298,0.6897636067337733,0.6878700421266257,8
