n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.41981355055715097,0.5518045969877581,0.547448892198503,3
500,500,1000,1,0.5767637729644776,0.5954515606890887,0.5949843645580113,98
500,500,1000,2,0.40597111249671264,0.5536001038454313,0.5510904139392078,3
500,500,1000,3,0.3938610905315727,0.5452065628064289,0.5403635071376338,3
500,500,1000,4,0.5361906439065933,0.5878715810569761,0.5867346008867025,79
1000,500,1000,0,0.462275442526196,0.589461280993208,0.5852641498120502,3
1000,500,1000,1,0.548701382109097,0.6343361516511464,0.6331372642964125,87
1000,500,1000,2,0.5300697363339938,0.591627318774459,0.5900268199108542,3
1000,500,1000,3,0.5028849465231742,0.5988140450194632,0.5958402439793572,3
1000,500,1000,4,0.5165388294096503,0.6260397874524073,0.6229737593233585,87
2000,500,1000,0,0.622400430617509,0.637857141974406,0.6374398125484586,39
2000,500,1000,1,0.47581151845278563,0.6309092563978049,0.6267216153480113,2
2000,500,1000,2,0.5331565671496921,0.6423647800107656,0.6403990339487791,52
2000,500,1000,3,0.42166485424552647,0.6344202615975176,0.6299523985106498,2
2000,500,1000,4,0.546669809945992,0.6337189781000462,0.6312816021516919,34
5000,500,1000,0,0.7001694550639704,0.6790837917389552,0.6794844191558659,8
5000,500,1000,1,0.6335996985435486,0.6802718243609495,0.6790583484899253,4
5000,500,1000,2,0.6963130798604753,0.6805301607793193,0.6808142503909766,17
5000,500,1000,3,0.712418990333875,0.6703735467603372,0.6716349087189883,19
5000,500,1000,4,0.6338907260861661,0.6752891225365466,0.6737987819183617,16
7000,500,1000,0,0.6398050117378051,0.6751663629596697,0.674246966412291,7
7000,500,1000,1,0.7247206937699091,0.6791991919630603,0.6801551425845828,5
7000,500,1000,2,0.719919887456027,0.6865345067163674,0.6872689846316352,8
7000,500,1000,3,0.629773565257589,0.6967315268149356,0.6951245347801596,3
7000,500,1000,4,0.6527993277363155,0.6922642319227741,0.6913565394058824,11
