n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.4623118237112508,0.5735835108035384,0.5699115430954844,60
500,500,1000,1,0.5486150777339935,0.5870940254475826,0.5861320514418185,57
500,500,1000,2,0.40265798678292947,0.5504949481481363,0.5479817198459059,3
500,500,1000,3,0.4302735407836735,0.542133398847616,0.5385538838151842,3
500,500,1000,4,0.554651902480559,0.5864572558239681,0.5857575393244624,67
1000,500,1000,0,0.4412112935925975,0.6172731842358348,0.6114631410622969,81
1000,500,1000,1,0.5705229150397437,0.6264480733545025,0.6256651239618659,71
1000,500,1000,2,0.5084327612645351,0.5852434785091901,0.583246400045231,2
1000,500,1000,3,0.5021906139389161,0.5935620695901112,0.5907295564616798,2
1000,500,1000,4,0.5188425816595554,0.6211991889915839,0.6183332030661404,65
2000,500,1000,0,0.5977457932851933,0.621831003895732,0.6211807020432316,2
2000,500,1000,1,0.5330347349798238,0.6249014934111398,0.6224210924580693,2
2000,500,1000,2,0.5337677862909105,0.6216745762203777,0.6200922563485801,2
2000,500,1000,3,0.4799138853947322,0.6565891321504962,0.6528789521753788,57
2000,500,1000,4,0.5433213484606573,0.6166136418143479,0.6145614574886858,2
5000,500,1000,0,0.674213192964855,0.6738971493773687,0.6739031557440758,3
5000,500,1000,1,0.6097842861826603,0.6730244557203025,0.6713802110813558,3
5000,500,1000,2,0.679767295718193,0.6797756175311422,0.6797754684947431,40
5000,500,1000,3,0.7314394821723302,0.6731952511715059,0.6749425805006176,22
5000,500,1000,4,0.6313709600104226,0.6717522226098183,0.6702984982104973,4
7000,500,1000,0,0.6408441536701642,0.677293697498295,0.6763460098430515,3
7000,500,1000,1,0.7281101019609542,0.6766512181787762,0.6777318544625305,13
7000,500,1000,2,0.709144729104909,0.6810582320602012,0.6816761364815757,3
7000,500,1000,3,0.6240438347061475,0.695155386958027,0.6934487106241286,3
7000,500,1000,4,0.6763443182344022,0.6892739629493063,0.6889765801820904,3
