n_train,n_val,n_test,seed,pos_acc,neg_acc,overall_acc,best_epoch
500,500,1000,0,0.44524545793732007,0.5276198120276473,0.5251485816601198,3
500,500,1000,1,0.39313069142793355,0.5319697011744453,0.5293317614439875,3
500,500,1000,2,0.5076843246817588,0.5240921787641578,0.5235999434546101,3
500,500,1000,3,0.3834282833905447,0.5766337315977168,0.5725764171779155,78
500,500,1000,4,0.4143363464137782,0.537580226289686,0.534745617851615,3
1000,500,1000,0,0.5613348217947143,0.6093076522358589,0.6079644120521843,81
1000,500,1000,1,0.47309921760308116,0.6182156467751413,0.6154584360830486,93
1000,500,1000,2,0.5588761270046234,0.6098501226908739,0.6085248000994324,81
1000,500,1000,3,0.45733205005526545,0.622495707133975,0.6191924341563135,82
1000,500,1000,4,0.5397583214300019,0.6253319444449105,0.6229358857497573,78
2000,500,1000,0,0.7041914916556814,0.6471219447021017,0.6484345436710864,79
2000,500,1000,1,0.5592116111746201,0.6460695952440955,0.6438112871367484,67
2000,500,1000,2,0.5512340983315822,0.5996545881025255,0.5981535519324243,2
2000,500,1000,3,0.6317406579852104,0.6470846817657656,0.6467778025083244,63
2000,500,1000,4,0.6322525677581629,0.6554557027669288,0.6548988300599158,69
5000,500,1000,0,0.6768353879451752,0.6773670706917,0.6773559042569249,27
5000,500,1000,1,0.6927457821780237,0.6667679978033909,0.667521354958415,34
5000,500,1000,2,0.667439960381564,0.671840851509703,0.6717660342631862,16
5000,500,1000,3,0.6539863924185435,0.6719250977308172,0.6713869357146323,16
5000,500,1000,4,0.6430215666691462,0.6658026818483684,0.6651192461955361,16
7000,500,1000,0,0.6875166729092598,0.6770837546211005,0.6773967429334298,5
7000,500,1000,1,0.7141832255798838,0.6856514625785112,0.6863076907247305,6
7000,500,1000,2,0.7091954364663079,0.6942729444963148,0.6945863165855408,13
7000,500,1000,3,0.634882219906511,0.6806222346873165,0.679295774910599,6
7000,500,1000,4,0.6080606174655259,0.6872218106911818,0.6846886526457966,9
