feature_type,n_train,n_val,n_test,seed,pos_metric,neg_metric,overall_metric,best_epoch
ecfp,500,500,1000,0,0.4754317429932681,0.5509962379978632,0.5485026098415255,93
ecfp,500,500,1000,0,0.43895491167451395,0.5501751162211922,0.5465048485472799,75
ecfp,500,500,1000,1,0.5221120500564576,0.5550111500383952,0.5541886733435094,65
ecfp,500,500,1000,2,0.4150487454060246,0.5553959746364721,0.5530100713856518,45
ecfp,500,500,1000,3,0.47978508239611983,0.5448950924804773,0.5428115727216937,58
ecfp,500,500,1000,4,0.4454035115512935,0.5661396696422714,0.5634834739118815,83
ecfp,1000,500,1000,0,0.3911412208143509,0.5648431951134835,0.5591110295220278,3
ecfp,1000,500,1000,1,0.5677520675318581,0.6085306066513424,0.607959707222879,80
ecfp,1000,500,1000,2,0.5133515885816171,0.5589255564932155,0.5577406322434545,3
ecfp,1000,500,1000,3,0.5291666950910322,0.6025918022920719,0.6003156239911914,85
ecfp,1000,500,1000,4,0.5153478676719325,0.5990364754327224,0.5966931944042444,45
ecfp,2000,500,1000,0,0.6173651704081783,0.623427514413722,0.6232638305556029,58
ecfp,2000,500,1000,1,0.48632226718796623,0.6068745347808085,0.6036196234123782,2
ecfp,2000,500,1000,2,0.5159707110789087,0.6009609216327215,0.5994310973044484,2
ecfp,2000,500,1000,3,0.46735920153913046,0.6353275862801154,0.63180025100708,76
ecfp,2000,500,1000,4,0.5380317462342126,0.6037710137682518,0.6019303162666038,23
ecfp,5000,500,1000,0,0.6675891405657718,0.656813168951389,0.6570179110709577,2
ecfp,5000,500,1000,1,0.6000687600328372,0.6595357566387288,0.6579896161574871,3
ecfp,5000,500,1000,2,0.6626906659868028,0.6624874761859202,0.6624911327045411,27
ecfp,5000,500,1000,3,0.705720975001653,0.6530959058783411,0.6546746564935892,41
ecfp,5000,500,1000,4,0.6065182313323021,0.6548403148303635,0.6531007200796157,3
ecfp,7000,500,1000,0,0.5909806088759348,0.6612230484742955,0.6593967428989709,4
ecfp,7000,500,1000,1,0.6961988423551831,0.6570883432923568,0.6579096635081805,4
ecfp,7000,500,1000,2,0.6761742376468398,0.6675561465825771,0.6677457431145012,3
ecfp,7000,500,1000,3,0.6158124711364508,0.674789664822203,0.6733742146175354,3
ecfp,7000,500,1000,4,0.6646729131107745,0.6741491143525928,0.673931160107255,16
rdkit2d,500,500,1000,0,0.38214844781340973,0.5340185739762595,0.52900685797818,3
rdkit2d,500,500,1000,1,0.4740754184126854,0.5236699095444801,0.5224300451949239,3
rdkit2d,500,500,1000,2,0.36154967568376484,0.5293438255783106,0.5264913251753897,3
rdkit2d,500,500,1000,3,0.37597531313076615,0.5221045938501334,0.5174284560419619,3
rdkit2d,500,500,1000,4,0.5102626153013923,0.5305434811845087,0.5300973007194698,3
rdkit2d,1000,500,1000,0,0.33967838210589957,0.5640673527184434,0.5566625171203632,3
rdkit2d,1000,500,1000,1,0.49070064084870474,0.5792979668197977,0.5780576059586602,3
rdkit2d,1000,500,1000,2,0.5021550575127969,0.5635837693411849,0.5619866214748472,3
rdkit2d,1000,500,1000,3,0.4725436947999462,0.566178724025083,0.5632760394080542,3
rdkit2d,1000,500,1000,4,0.44483019863920553,0.5668632180253695,0.5634462935049087,4
rdkit2d,2000,500,1000,0,0.5906385106069071,0.6107757654967588,0.6102320590373128,4
rdkit2d,2000,500,1000,1,0.5100839198739441,0.6163598291438556,0.6134903767865617,4
rdkit2d,2000,500,1000,2,0.5051884469058778,0.6096381589224042,0.6077580644041299,5
rdkit2d,2000,500,1000,3,0.43947420872393106,0.6157969625864608,0.6120941865956411,3
rdkit2d,2000,500,1000,4,0.5000289738444346,0.6104884348568265,0.6073955698702485,4
rdkit2d,5000,500,1000,0,0.6887803312979246,0.6646542875257593,0.6651126839015633,9
rdkit2d,5000,500,1000,1,0.5949750347779348,0.6678677045049822,0.665972495092079,10
rdkit2d,5000,500,1000,2,0.670733673704995,0.6654169220838206,0.6655126235757489,6
rdkit2d,5000,500,1000,3,0.7207863142093023,0.6627313796757269,0.6644730259310454,14
rdkit2d,5000,500,1000,4,0.6223136244548692,0.6728778517403141,0.6710575385279953,6
rdkit2d,7000,500,1000,0,0.6007897888238614,0.6710646576927,0.6692375080417842,9
rdkit2d,7000,500,1000,1,0.6699972138518379,0.6679272521258663,0.667970720040612,10
rdkit2d,7000,500,1000,2,0.6749810007485476,0.6757445945547311,0.6757277936097235,10
rdkit2d,7000,500,1000,3,0.622680184741815,0.6859945810579343,0.68447503452003,9
rdkit2d,7000,500,1000,4,0.6502141576746235,0.6807167297353093,0.6800151693504304,8
rdkit3d,500,500,1000,0,0.3677984444480954,0.5022785209288826,0.49784067809581756,4
rdkit3d,500,500,1000,1,0.45232817351818083,0.5093766028462694,0.5079503923272713,4
rdkit3d,500,500,1000,2,0.31086398266694126,0.5006041723689101,0.4973785907607526,4
rdkit3d,500,500,1000,3,0.3552850332343951,0.48413940150654405,0.4800160606256686,4
rdkit3d,500,500,1000,4,0.4226707660339095,0.5054995788105122,0.5036773448772729,4
rdkit3d,1000,500,1000,0,0.4006674127145247,0.5328603558783586,0.528497988153249,3
rdkit3d,1000,500,1000,1,0.43216577065842493,0.5544477045421751,0.5527357588275336,3
rdkit3d,1000,500,1000,2,0.45490864033882433,0.5318143001792941,0.5298147533773444,3
rdkit3d,1000,500,1000,3,0.37542463334337356,0.5333468551498571,0.5284512670002878,3
rdkit3d,1000,500,1000,4,0.42730472928711344,0.5328301692481149,0.5298754576221109,4
rdkit3d,2000,500,1000,0,0.525243699826576,0.5787206775061825,0.5772768000252545,3
rdkit3d,2000,500,1000,1,0.45256326099236804,0.5828083437424295,0.5792917243074626,4
rdkit3d,2000,500,1000,2,0.4583238909641902,0.5706123737912329,0.5685911815585568,3
rdkit3d,2000,500,1000,3,0.42150873229617164,0.5902223632508267,0.5866793771274388,3
rdkit3d,2000,500,1000,4,0.47260474626507076,0.5726544853882412,0.5698530918657779,4
rdkit3d,5000,500,1000,0,0.6385233276768735,0.6251496532770533,0.6254037534184754,6
rdkit3d,5000,500,1000,1,0.586691399033253,0.6323585697665841,0.6311712227091193,6
rdkit3d,5000,500,1000,2,0.6189953097038798,0.6257637003778106,0.6256418689657003,6
rdkit3d,5000,500,1000,3,0.6576378360390663,0.6247757320359503,0.6257615949995816,7
rdkit3d,5000,500,1000,4,0.5575272954172559,0.6281340573291213,0.625592214032542,8
rdkit3d,7000,500,1000,0,0.6283362682622212,0.6303778205036321,0.6303247392773629,11
rdkit3d,7000,500,1000,1,0.6607151560130573,0.6380662700928086,0.6385418955106288,6
rdkit3d,7000,500,1000,2,0.6378349567001517,0.6312031573092218,0.6313490589261055,13
rdkit3d,7000,500,1000,3,0.5595805874715248,0.647519881645271,0.6454093383392319,5
rdkit3d,7000,500,1000,4,0.6193514880926713,0.6451042884190547,0.6445119757205248,8
bert,500,500,1000,0,0.4050242009036469,0.4830508120415777,0.48047593248821796,3
