split_mode,feature_type,n_train,n_val,n_test,seed,n_pos_req,n_neg_req,pos_metric,neg_metric,overall_metric,best_epoch
domain,ecfp,,,,0,0,7000,0.42805936684211093,0.6750818264415586,0.6688976778431183,3
domain,ecfp,,,,1,0,7000,0.4437413691646523,0.6795940431719713,0.6736895259034525,3
domain,ecfp,,,,2,0,7000,0.4731030824283759,0.6726766141701473,0.6676803373016665,3
domain,ecfp,,,,3,0,7000,0.3935948970417182,0.678671848847127,0.6715350139603441,4
domain,ecfp,,,,4,0,7000,0.4562562323278851,0.6704265727806363,0.6650648658035611,3
domain,ecfp,,,,0,10,6990,0.496206587801377,0.6749880894395481,0.6705123349313102,10
domain,ecfp,,,,1,10,6990,0.4660150586730904,0.6770952117732977,0.6718108683775318,3
domain,ecfp,,,,2,10,6990,0.48452139066325295,0.6721128795226868,0.6674165701382225,3
domain,ecfp,,,,3,10,6990,0.4256310566431946,0.6786921857431074,0.6723568576416558,4
domain,ecfp,,,,4,10,6990,0.4622236395047771,0.6758482868400549,0.6705002418423903,20
domain,ecfp,,,,0,50,6950,0.5695496081478066,0.6758919034243566,0.6732296496292937,3
domain,ecfp,,,,1,50,6950,0.5613209820455975,0.6799378085458989,0.6769682639556962,40
domain,ecfp,,,,2,50,6950,0.5597111094329092,0.6729802011977881,0.670144534841768,3
domain,ecfp,,,,3,50,6950,0.5203877058294084,0.6800204823059316,0.6760241133931594,3
domain,ecfp,,,,4,50,6950,0.5806299166546928,0.671710413073565,0.6694302337525335,18
domain,ecfp,,,,0,100,6900,0.679858822375536,0.672992466194967,0.6731643656816629,10
domain,ecfp,,,,1,100,6900,0.6154286273651652,0.6775270283604825,0.675972408993281,32
domain,ecfp,,,,2,100,6900,0.6292988749014007,0.6715830443803946,0.6705244690358253,3
domain,ecfp,,,,3,100,6900,0.5912555505832037,0.6741139702512199,0.67203962899387,4
domain,ecfp,,,,4,100,6900,0.5869746423429913,0.6743527463846208,0.6721652549659439,16
domain,ecfp,,,,0,120,6880,0.6752678640186787,0.6720312768932214,0.672112305096826,4
domain,ecfp,,,,1,120,6880,0.6501749340030882,0.6777794921090468,0.6770884174755121,30
domain,ecfp,,,,2,120,6880,0.6145597828759087,0.6688283027844575,0.6674697028838295,3
domain,ecfp,,,,3,120,6880,0.6008053802781634,0.6784463249812548,0.676502602797271,4
domain,ecfp,,,,4,120,6880,0.581734968142377,0.6668386290795814,0.6647080797211479,4
domain,rdkit2d,,,,0,0,7000,0.38553534303274417,0.6786908949118758,0.6713518112952842,9
domain,rdkit2d,,,,1,0,7000,0.39257757479531896,0.681775004570419,0.6745350104863516,8
domain,rdkit2d,,,,2,0,7000,0.36234446418368155,0.679393816617093,0.6714565603085826,8
domain,rdkit2d,,,,3,0,7000,0.33304318733927274,0.6786564671422505,0.6700041190557886,6
domain,rdkit2d,,,,4,0,7000,0.3675422690187891,0.6870787258360176,0.6790792042897837,8
domain,rdkit2d,,,,0,10,6990,0.4241820505509774,0.6787139708375539,0.6723418228991422,7
domain,rdkit2d,,,,1,10,6990,0.46384451414148015,0.6841394718691239,0.6786244382397874,10
domain,rdkit2d,,,,2,10,6990,0.45471336133778095,0.6802213320484685,0.6745757925245128,8
domain,rdkit2d,,,,3,10,6990,0.3649716562488013,0.6816414155982058,0.6737136614526089,9
domain,rdkit2d,,,,4,10,6990,0.38557110064559513,0.6831098660765569,0.6756610507883847,9
domain,rdkit2d,,,,0,50,6950,0.5775809074338112,0.6799009542237335,0.6773393965198015,10
domain,rdkit2d,,,,1,50,6950,0.5611322592529986,0.6824680031815308,0.6794303928337401,10
domain,rdkit2d,,,,2,50,6950,0.5435141916904185,0.6780061554934261,0.6746391800202439,7
domain,rdkit2d,,,,3,50,6950,0.5089315165662103,0.6789141304826845,0.6746586552793251,10
domain,rdkit2d,,,,4,50,6950,0.5271775929464234,0.6824118538473012,0.6785255997807308,19
domain,rdkit2d,,,,0,100,6900,0.6684324505428473,0.6793449726447293,0.6790717815668147,9
domain,rdkit2d,,,,1,100,6900,0.6040622918970056,0.6821611942490895,0.680206006037276,14
domain,rdkit2d,,,,2,100,6900,0.5887412060466077,0.6790046574582429,0.6767449311171146,9
domain,rdkit2d,,,,3,100,6900,0.5994839751058154,0.6852908367379941,0.6831426803505609,8
domain,rdkit2d,,,,4,100,6900,0.5561947772900263,0.6834406457527855,0.6802550767767288,9
domain,rdkit2d,,,,0,120,6880,0.6676111622816987,0.6776217353382757,0.677371123278454,10
domain,rdkit2d,,,,1,120,6880,0.6295267008244991,0.6828044060861477,0.6814706089976988,7
domain,rdkit2d,,,,2,120,6880,0.6077504605054855,0.6770847825633731,0.6753490156026477,9
domain,rdkit2d,,,,3,120,6880,0.6228688110907873,0.6846540855232509,0.6831073046390548,7
domain,rdkit2d,,,,4,120,6880,0.5567740396493011,0.6843139811793605,0.6811210497315475,8
domain,rdkit3d,,,,0,0,7000,0.4534230517844359,0.6428349979006593,0.6380931141207277,8
domain,rdkit3d,,,,1,0,7000,0.36101885108898085,0.6510387377789544,0.643778155471026,8
domain,rdkit3d,,,,2,0,7000,0.3925313291967743,0.6448102304114085,0.6384944851809442,8
domain,rdkit3d,,,,3,0,7000,0.35901025051458013,0.6399021032219819,0.6328700412121784,7
domain,rdkit3d,,,,4,0,7000,0.38257581771661836,0.6461521946657688,0.6395536213782933,8
